,Title,Author,Published date,Format,Sale Price,Old Price,Category
8001,Tokyo Revengers (Omnibus) Vol. 7-8,Ken Wakui,07 Feb 2023,Paperback,22.93,25.0,Graphic-Novels-Anime-and-Manga
8002,"Jujutsu Kaisen, Vol. 18",Gege Akutami,02 Feb 2023,Paperback,9.6,10.5,Graphic-Novels-Anime-and-Manga
8003,Classroom of the Elite: Year 2 (Light Novel) Vol. 4,Syougo Kinugasa,07 Feb 2023,Paperback,14.81,15.5,Graphic-Novels-Anime-and-Manga
8004,"Bungo Stray Dogs: Beast, Vol. 4",Kafka Asagiri,17 Jan 2023,Paperback,12.75,13.5,Graphic-Novels-Anime-and-Manga
8005,Vinland Saga 13,Makoto Yukimura,10 Jan 2023,Hardback,20.87,23.5,Graphic-Novels-Anime-and-Manga
8006,"Dragon Ball Super, Vol. 17",Akira Toriyama,19 Jan 2023,Paperback,9.65,10.5,Graphic-Novels-Anime-and-Manga
8007,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 20,Rifujin Na Magonote,31 Jan 2023,Paperback,11.81,14.5,Graphic-Novels-Anime-and-Manga
8008,"Thus Spoke Rohan Kishibe, Vol. 2",Hirohiko Araki,02 Feb 2023,Hardback,17.99,18.5,Graphic-Novels-Anime-and-Manga
8009,Amazing Spider-man Epic Collection: The Hero Killers,David Michelinie,17 Jan 2023,Paperback,44.28,45.0,Graphic-Novels-Anime-and-Manga
8010,Silver Surfer Epic Collection: The Return Of Thanos,Steve Englehart,02 Feb 2023,Paperback,44.6,52.5,Graphic-Novels-Anime-and-Manga
8011,Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard?! 6,Toyota,31 Jan 2023,Paperback,14.86,19.0,Graphic-Novels-Anime-and-Manga
8012,"Sakamoto Days, Vol. 5",Yuto Suzuki,19 Jan 2023,Paperback,9.7,10.5,Graphic-Novels-Anime-and-Manga
8013,Ayakashi Triangle Vol. 2,Kentaro Yabuki,07 Feb 2023,Paperback,12.86,14.5,Graphic-Novels-Anime-and-Manga
8014,Blue Period 12,Tsubasa Yamaguchi,24 Jan 2023,Paperback,12.62,13.5,Graphic-Novels-Anime-and-Manga
8015,"Bungo Stray Dogs, Vol. 22",Kafka Asagiri,17 Jan 2023,Paperback,12.75,13.5,Graphic-Novels-Anime-and-Manga
8016,"My Love Mix-Up!, Vol. 6",Wataru Hinekure,02 Feb 2023,Paperback,10.35,10.35,Graphic-Novels-Anime-and-Manga
8017,One Piece Color Walk Compendium: New World to Wano,Eiichiro Oda,02 Feb 2023,Hardback,33.33,41.5,Graphic-Novels-Anime-and-Manga
8018,Yakuza Fiance: Raise wa Tanin ga Ii Vol. 2,Asuka Konishi,31 Jan 2023,Paperback,14.7,15.5,Graphic-Novels-Anime-and-Manga
8019,"The Elder Sister-Like One, Vol. 6",Pochi Iida,17 Jan 2023,Paperback,12.75,13.5,Graphic-Novels-Anime-and-Manga
8020,"Moriarty the Patriot, Vol. 10",Ryosuke Takeuchi,02 Feb 2023,Paperback,9.8,10.0,Graphic-Novels-Anime-and-Manga
8021,PTSD Radio 2 (Vol. 3-4),Masaaki Nakayama,17 Jan 2023,Paperback,19.6,25.0,Graphic-Novels-Anime-and-Manga
8022,"Fist of the North Star, Vol. 7",Buronson,02 Feb 2023,Hardback,19.4,20.5,Graphic-Novels-Anime-and-Manga
8023,Noragami: Stray God 25,Adachitoka,10 Jan 2023,Paperback,11.07,11.5,Graphic-Novels-Anime-and-Manga
8024,In the Clear Moonlit Dusk 2,Mika Yamamori,17 Jan 2023,Paperback,12.53,13.5,Graphic-Novels-Anime-and-Manga
8025,Critical Role: The Mighty Nein Origins - Fjord Stone,Critical Role,12 Jan 2023,Hardback,16.5,18.5,Graphic-Novels-Anime-and-Manga
8026,Star Wars: Bounty Hunters Vol. 5 - The Raid On The Vermillion,Ethan Sacks,02 Feb 2023,Paperback,17.83,21.0,Graphic-Novels-Anime-and-Manga
8027,"Call of the Night, Vol. 10",Kotoyama,19 Jan 2023,Paperback,9.58,10.5,Graphic-Novels-Anime-and-Manga
8028,"Dr. STONE, Vol. 24",Riichiro Inagaki,02 Feb 2023,Paperback,9.8,10.0,Graphic-Novels-Anime-and-Manga
8029,"Black Clover, Vol. 31",Yuki Tabata,19 Jan 2023,Paperback,9.6,10.5,Graphic-Novels-Anime-and-Manga
8030,"Komi Can't Communicate, Vol. 22",Tomohito Oda,19 Jan 2023,Paperback,9.65,10.5,Graphic-Novels-Anime-and-Manga
8031,Ascendance of a Bookworm: Part 4 Volume 4,Miya Kazuki,17 Jan 2023,Paperback,13.3,13.5,Graphic-Novels-Anime-and-Manga
8032,I Swear I Won't Bother You Again! (Manga) Vol. 3,Reina Soratani,31 Jan 2023,Paperback,12.74,13.5,Graphic-Novels-Anime-and-Manga
8033,A Condition Called Love 1,Megumi Morino,24 Jan 2023,Paperback,10.98,13.5,Graphic-Novels-Anime-and-Manga
8034,Adachi and Shimamura (Light Novel) Vol. 10,Hitoma Iruma,17 Jan 2023,Paperback,13.72,16.0,Graphic-Novels-Anime-and-Manga
8035,I'm Not a Succubus! Vol. 2,Horitomo,31 Jan 2023,Paperback,13.59,14.5,Graphic-Novels-Anime-and-Manga
8036,Critical Role: The Mighty Nein Origins - Nott The Brave,Sam Maggs,31 Jan 2023,Hardback,17.95,21.0,Graphic-Novels-Anime-and-Manga
8037,Daredevil By Miller & Janson Omnibus,Frank Miller,31 Jan 2023,Hardback,79.63,99.0,Graphic-Novels-Anime-and-Manga
8038,Heartstopper Volume 1,Alice Oseman,02 Feb 2023,Hardback,16.79,21.0,Graphic-Novels-Anime-and-Manga
8039,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 2,Rou Bao Bu Chi Rou,24 Jan 2023,Paperback,15.55,20.5,Graphic-Novels-Anime-and-Manga
8040,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,Mo Xiang Tong Xiu,20 Sep 2022,Paperback,15.11,20.5,Graphic-Novels-Anime-and-Manga
